age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
51,management,married,tertiary,no,-321,no,no,cellular,6,feb,470,2,9,2,,no
34,technician,single,secondary,no,705,yes,yes,unknown,19,may,1203,3,-1,0,unknown,no
35,management,single,tertiary,no,385,yes,no,cellular,29,aug,168,2,-1,0,unknown,no
33,services,single,secondary,no,1038,no,yes,unknown,3,jul,108,1,-1,0,unknown,no
36,entrepreneur,married,secondary,no,1163,yes,no,cellular,18,may,420,7,363,1,failure,no
59,management,married,tertiary,no,3342,no,no,cellular,18,mar,467,2,188,6,,yes
34,management,married,tertiary,no,3050,yes,no,cellular,13,may,469,1,-1,0,unknown,yes
47,blue-collar,married,,yes,162,no,no,cellular,25,aug,366,3,-1,0,unknown,yes
53,blue-collar,married,primary,no,0,no,no,cellular,7,jul,114,1,-1,0,unknown,no
38,management,married,,no,1759,yes,no,unknown,6,may,440,1,-1,0,unknown,no
45,services,married,secondary,no,0,yes,yes,unknown,23,may,268,1,-1,0,unknown,no
54,blue-collar,married,primary,no,1849,no,no,cellular,12,aug,127,4,-1,0,unknown,no
54,retired,married,secondary,no,1851,no,no,unknown,11,jun,296,3,-1,0,unknown,no
36,blue-collar,single,secondary,no,507,yes,no,cellular,22,may,210,1,-1,0,unknown,no
56,management,single,secondary,no,237,yes,no,telephone,9,jul,236,4,-1,0,unknown,no
24,technician,single,secondary,no,2355,yes,no,unknown,17,jun,158,3,-1,0,unknown,no
59,management,married,tertiary,no,1831,no,no,cellular,17,feb,122,1,92,1,failure,no
28,technician,married,secondary,no,448,yes,no,cellular,11,may,188,2,346,3,,no
45,housemaid,single,primary,no,959,yes,no,telephone,6,feb,156,2,-1,0,unknown,no
27,technician,married,secondary,no,130,yes,no,cellular,7,may,265,3,-1,0,unknown,no
33,services,single,tertiary,no,-452,no,no,cellular,29,jan,692,2,-1,0,unknown,yes
33,entrepreneur,married,tertiary,no,87,yes,yes,cellular,21,nov,141,4,-1,0,unknown,no
58,entrepreneur,married,primary,no,1153,yes,yes,telephone,12,may,206,6,337,6,failure,no
33,blue-collar,divorced,,yes,-274,yes,yes,cellular,17,apr,715,2,329,2,failure,yes
33,admin.,single,secondary,no,1834,yes,no,cellular,21,nov,11,2,-1,0,unknown,no
28,technician,single,secondary,no,1417,yes,no,unknown,28,may,491,1,-1,0,unknown,no
42,management,married,tertiary,no,4,yes,no,cellular,17,jul,795,1,-1,0,unknown,yes
44,blue-collar,married,secondary,no,1311,yes,no,cellular,13,may,184,1,364,1,failure,no
25,blue-collar,married,secondary,no,758,yes,no,unknown,28,may,504,3,-1,0,unknown,no
58,unemployed,married,tertiary,no,1333,no,no,cellular,1,oct,278,1,-1,0,unknown,no
28,management,single,tertiary,no,1837,yes,no,telephone,31,jul,49,3,-1,0,unknown,no
47,management,married,tertiary,no,434,no,no,cellular,12,aug,111,4,-1,0,unknown,no
44,blue-collar,married,secondary,no,261,yes,no,unknown,19,may,87,5,-1,0,unknown,no
41,admin.,married,secondary,no,338,yes,no,unknown,16,may,121,1,-1,0,unknown,no
56,management,married,tertiary,no,334,yes,no,unknown,15,may,127,2,-1,0,unknown,no
58,management,married,primary,no,4850,no,no,cellular,7,jul,179,2,-1,0,unknown,no
31,management,single,tertiary,no,949,yes,no,cellular,28,jul,52,7,-1,0,unknown,no
52,management,married,primary,no,324,no,no,cellular,9,jul,81,1,-1,0,unknown,no
60,services,married,,no,132,yes,no,unknown,15,may,29,1,-1,0,unknown,no
46,technician,married,secondary,no,57,no,no,unknown,28,may,796,1,-1,0,unknown,yes
53,self-employed,married,tertiary,no,167,yes,no,cellular,7,may,84,1,343,1,,no
31,admin.,single,secondary,no,430,yes,no,cellular,15,apr,103,2,-1,0,unknown,no
32,blue-collar,single,primary,no,882,no,yes,cellular,29,jul,80,8,-1,0,unknown,no
49,services,married,secondary,yes,-249,no,no,cellular,29,jul,234,5,-1,0,unknown,no
44,admin.,married,secondary,no,238,yes,yes,unknown,2,jun,306,4,-1,0,unknown,no
46,blue-collar,married,primary,no,580,yes,no,telephone,4,feb,30,2,-1,0,unknown,no
24,services,single,tertiary,no,1385,yes,no,unknown,28,may,1277,2,-1,0,unknown,no
56,blue-collar,married,primary,no,284,no,yes,telephone,3,feb,124,4,204,4,failure,no
53,entrepreneur,single,,no,202,no,no,cellular,28,jul,106,3,-1,0,unknown,no
60,housemaid,married,primary,no,161,no,no,unknown,6,jun,183,1,-1,0,unknown,no
42,management,married,tertiary,no,199,yes,no,cellular,9,jul,497,1,-1,0,unknown,no
43,management,single,secondary,no,2968,no,no,unknown,20,jun,30,4,-1,0,unknown,no
44,services,divorced,secondary,no,35,yes,no,cellular,16,apr,184,2,-1,0,unknown,no
31,management,single,tertiary,no,0,no,no,cellular,28,aug,38,16,-1,0,unknown,no
41,technician,single,secondary,no,0,yes,yes,unknown,19,may,162,1,-1,0,unknown,no
34,services,married,secondary,no,302,yes,no,unknown,7,may,124,1,-1,0,unknown,no
34,management,single,tertiary,no,0,yes,no,unknown,21,may,311,1,-1,0,unknown,no
25,student,single,tertiary,no,1189,no,no,cellular,3,jun,165,1,-1,0,unknown,yes
34,blue-collar,divorced,primary,no,0,yes,no,cellular,15,may,206,5,-1,0,unknown,no
33,management,married,tertiary,no,584,yes,no,cellular,7,aug,269,3,-1,0,unknown,no
53,admin,divorced,secondary,no,887,yes,no,unknown,13,may,169,2,-1,0,unknown,no
48,management,divorced,tertiary,no,700,yes,no,cellular,29,aug,488,2,-1,0,unknown,no
41,blue-collar,married,primary,no,254,yes,no,cellular,12,may,25,1,309,3,failure,no
54,admin.,divorced,secondary,no,1383,yes,yes,cellular,30,jul,622,4,-1,0,unknown,no
34,admin.,married,secondary,no,21,no,no,cellular,17,apr,332,1,346,3,failure,no
36,admin.,single,secondary,no,115,no,no,cellular,4,may,134,3,91,1,failure,no
36,blue-collar,married,secondary,no,79,yes,yes,cellular,2,jun,74,2,-1,0,unknown,no
35,services,married,secondary,no,0,yes,no,cellular,6,may,343,3,351,1,failure,no
32,technician,married,secondary,no,9608,no,no,cellular,8,aug,114,4,-1,0,unknown,no
32,admin.,married,secondary,no,-540,yes,yes,unknown,30,may,53,7,-1,0,unknown,no
41,admin.,divorced,secondary,no,2970,no,yes,unknown,27,jun,169,2,-1,0,unknown,no
39,blue-collar,single,secondary,no,0,yes,no,cellular,7,may,722,2,-1,0,unknown,no
42,blue-collar,married,secondary,no,-269,yes,no,telephone,30,jul,100,6,-1,0,unknown,no
25,student,single,secondary,no,125,no,no,cellular,9,feb,215,1,92,2,success,yes
38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,2,-1,0,unknown,yes
31,admin.,divorced,secondary,no,525,no,yes,telephone,19,nov,278,7,-1,0,unknown,no
36,technician,single,secondary,no,966,no,no,cellular,8,oct,135,2,91,13,failure,no
22,student,single,secondary,no,241,yes,no,cellular,13,may,-20,1,-1,0,unknown,no
38,admin.,married,tertiary,no,4297,no,no,cellular,7,aug,206,2,-1,0,unknown,yes
36,blue-collar,married,secondary,no,141,yes,no,unknown,23,may,106,3,-1,0,unknown,no
24,management,single,secondary,no,86,no,no,unknown,2,jun,1075,2,-1,0,unknown,no
42,blue-collar,married,primary,no,695,yes,no,cellular,16,apr,173,2,-1,0,unknown,no
34,management,married,tertiary,no,676,no,no,cellular,7,may,156,1,177,1,success,no
54,self-employed,married,primary,no,2132,no,yes,cellular,20,nov,91,1,-1,0,unknown,no
55,technician,married,primary,no,1498,no,yes,unknown,17,jun,345,2,-1,0,unknown,no
56,management,married,tertiary,no,67,no,yes,cellular,29,aug,88,2,-1,0,unknown,no
30,admin.,single,,yes,1,no,no,unknown,9,may,307,1,-1,0,unknown,no
43,self-employed,married,primary,no,66,yes,no,unknown,7,may,175,5,-1,0,unknown,no
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,-372,yes,no,unknown,26,may,104,1,-1,0,unknown,no
32,management,single,tertiary,no,2613,no,no,cellular,4,may,520,2,-1,0,unknown,no
61,admin.,married,,no,4629,yes,no,cellular,27,jan,181,1,92,1,success,yes
32,entrepreneur,divorced,secondary,no,1121,yes,yes,cellular,16,apr,211,3,-1,0,unknown,no
49,unknown,married,secondary,no,0,no,no,cellular,28,aug,173,2,-1,0,unknown,no
41,management,single,tertiary,no,256,yes,no,unknown,3,jun,140,6,-1,0,unknown,no
43,blue-collar,divorced,secondary,no,-91,yes,yes,cellular,7,may,92,3,167,4,,no
54,self-employed,div,secondary,no,1016,yes,no,cellular,21,nov,643,3,-1,0,unknown,no
37,technician,married,secondary,no,28,no,no,cellular,21,aug,101,2,-1,0,unknown,no
45,unemployed,divorced,primary,yes,11,no,no,cellular,13,aug,489,5,-1,0,unknown,yes
34,admin.,divorced,secondary,no,0,yes,no,cellular,6,may,153,1,-1,0,unknown,no
61,housemaid,single,,no,893,no,no,telephone,2,feb,324,1,-1,0,unknown,no
44,blue-collar,married,primary,no,622,yes,no,unknown,21,feb,66,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,26,yes,no,cellular,17,apr,342,3,332,1,,no
52,services,married,secondary,no,2072,no,no,cellular,10,jul,224,1,-1,0,unknown,no
42,management,divorced,tertiary,no,9,yes,no,cellular,21,jul,509,1,-1,0,unknown,no
56,blue-collar,married,primary,no,173,yes,yes,telephone,23,jul,31,2,-1,0,unknown,no
36,technician,married,secondary,no,627,no,yes,cellular,4,feb,146,3,244,1,,no
46,management,married,tertiary,no,326,no,no,cellular,26,aug,182,7,-1,0,unknown,no
78,retired,divorced,,no,2628,no,no,telephone,14,apr,129,2,-1,0,unknown,no
55,housemaid,divorced,,no,3068,no,no,cellular,7,jul,44,3,-1,0,unknown,no
34,blue-collar,married,primary,no,-367,yes,no,unknown,26,may,85,1,-1,0,unknown,no
34,management,single,tertiary,no,-292,yes,no,cellular,19,aug,181,6,-1,0,unknown,no
38,admin.,married,primary,no,3913,yes,no,cellular,20,apr,196,2,315,2,failure,no
31,unemployed,single,tertiary,no,498,no,no,cellular,29,jan,264,2,-1,0,unknown,no
28,admin.,married,secondary,no,157,yes,yes,cellular,,28-Jul,164,2,-1,0,unknown,no
35,admin.,divorced,secondary,no,356,yes,no,unknown,29,may,76,1,-1,0,unknown,no
52,blue-collar,married,secondary,no,310,yes,no,unknown,28,may,211,4,-1,0,unknown,no
34,blue-collar,single,secondary,no,-231,yes,no,cellular,13,may,9,8,-1,0,unknown,no
30,blue-collar,single,secondary,no,-457,yes,no,unknown,5,may,143,2,-1,0,unknown,no
31,blue-collar,married,primary,no,298,yes,yes,unknown,2,jun,232,1,-1,0,unknown,no
54,admin.,divorced,secondary,no,200,no,no,cellular,3,jun,170,1,-1,0,unknown,yes
50,admin.,married,secondary,no,219,yes,no,cellular,15,jul,419,7,-1,0,unknown,no
37,blue-collar,married,primary,no,7,no,no,unknown,6,jun,176,1,-1,0,unknown,no
29,management,married,secondary,no,231,no,no,cellular,30,apr,80,1,-1,0,unknown,no
31,blue-collar,single,primary,no,5972,no,no,telephone,20,nov,59,1,-1,0,unknown,no
26,unemployed,single,tertiary,no,2170,no,no,cellular,3,feb,317,1,-1,0,unknown,no
39,technician,married,secondary,no,0,no,no,cellular,4,aug,281,3,-1,0,unknown,no
56,blue-collar,married,primary,no,547,no,no,unknown,9,jun,84,1,-1,0,unknown,no
35,management,single,tertiary,no,431,no,no,cellular,17,aug,343,2,397,1,failure,yes
59,housemaid,married,secondary,no,345,no,no,unknown,9,jun,38,1,-1,0,unknown,no
35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,4,-1,0,unknown,yes
48,management,married,tertiary,no,7825,no,no,telephone,21,nov,77,5,-1,0,unknown,no
31,management,single,tertiary,no,58,no,no,cellular,29,aug,207,2,-1,0,unknown,no
40,services,Single,secondary,no,65,yes,no,cellular,15,may,15,3,-1,0,unknown,no
54,entrepreneur,married,tertiary,no,651,yes,yes,cellular,22,jul,121,2,-1,0,unknown,no
42,management,divorced,tertiary,no,221,yes,no,unknown,7,may,720,2,-1,0,unknown,no
45,technician,married,secondary,no,546,yes,yes,unknown,9,jun,152,4,-1,0,unknown,no
26,management,single,tertiary,no,3,yes,yes,cellular,1,apr,149,1,350,1,success,yes
37,unemployed,married,secondary,no,2424,no,no,cellular,20,nov,633,2,156,2,,no
53,retired,married,tertiary,no,1770,no,no,cellular,29,jan,147,1,-1,0,unknown,no
31,technician,single,secondary,no,87,yes,no,unknown,19,may,259,3,-1,0,unknown,no
29,management,single,tertiary,no,-27,no,no,cellular,13,may,270,1,-1,0,unknown,yes
34,blue-collar,single,secondary,no,89,yes,yes,unknown,21,may,175,2,-1,0,unknown,no
41,blue-collar,single,secondary,no,277,yes,no,unknown,7,may,2177,4,-1,0,unknown,no
28,student,single,tertiary,no,737,yes,no,unknown,27,may,125,1,-1,0,unknown,no
35,services,married,secondary,no,5,no,no,cellular,30,jul,153,2,-1,0,unknown,no
37,services,married,tertiary,no,0,yes,no,cellular,21,nov,11,3,175,1,failure,no
43,management,married,tertiary,no,715,no,no,cellular,20,aug,88,4,-1,0,unknown,no
51,admin.,married,secondary,no,1699,no,no,unknown,5,jun,153,2,-1,0,unknown,no
61,self-employed,divorced,tertiary,no,6,yes,no,cellular,14,apr,133,2,-1,0,unknown,yes
36,blue-collar,married,primary,no,378,yes,no,cellular,5,may,1240,1,-1,0,unknown,yes
49,blue-collar,single,primary,no,3710,yes,no,telephone,20,nov,107,2,-1,0,unknown,no
35,services,married,secondary,no,373,no,yes,unknown,16,jun,162,6,-1,0,unknown,no
36,services,married,secondary,no,3972,yes,yes,unknown,19,jun,32,1,-1,0,unknown,no
32,technician,married,tertiary,no,4089,no,no,cellular,26,may,114,7,287,3,failure,no
33,blue-collar,married,secondary,yes,-266,yes,yes,cellular,3,feb,16,7,-1,0,unknown,no
55,retired,married,secondary,no,6690,no,no,cellular,30,apr,534,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,-27,yes,no,cellular,11,may,254,1,-1,0,unknown,no
29,blue-collar,divorced,secondary,no,0,yes,no,unknown,25,jun,281,3,-1,0,unknown,no
32,management,single,secondary,no,0,yes,yes,unknown,16,may,385,7,-1,0,unknown,no
40,management,single,tertiary,no,257,no,no,cellular,1,feb,147,1,209,1,failure,no
36,management,married,tertiary,no,1357,yes,no,unknown,5,jun,74,5,-1,0,unknown,no
30,blue-collar,married,primary,no,-327,yes,yes,cellular,5,may,305,1,294,7,,no
32,admin.,married,secondary,no,56,yes,no,cellular,2,feb,275,1,258,1,,no
31,management,married,tertiary,no,1164,yes,yes,cellular,18,nov,141,2,123,3,failure,no
32,blue-collar,married,primary,no,217,yes,no,unknown,16,may,169,3,-1,0,unknown,no
30,services,single,secondary,no,399,yes,yes,unknown,23,may,158,3,-1,0,unknown,no
37,management,divorced,tertiary,no,1775,no,no,cellular,15,jul,514,5,-1,0,unknown,yes
46,blue-collar,married,primary,no,-388,yes,yes,cellular,10,jul,207,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,1,-1,0,unknown,yes
60,retired,single,tertiary,no,305,yes,no,cellular,3,feb,137,5,211,3,,no
68,retired,married,tertiary,no,2820,no,no,cellular,28,aug,109,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,630,no,no,cellular,26,aug,146,2,-1,0,unknown,no
28,student,single,secondary,no,404,yes,no,cellular,18,may,33,2,367,4,,no
51,services,married,secondary,no,260,no,no,telephone,9,jul,183,2,-1,0,unknown,no
24,technician,single,secondary,no,2019,yes,no,unknown,4,jun,1045,1,-1,0,unknown,no
39,management,divorced,secondary,no,4314,yes,no,cellular,20,nov,141,4,-1,0,unknown,no
36,blue-collar,married,primary,no,243,yes,yes,unknown,30,may,118,2,-1,0,unknown,no
44,technician,married,secondary,no,196,no,no,cellular,22,jul,367,1,-1,0,unknown,no
29,admin.,married,secondary,no,300,yes,no,cellular,16,apr,487,3,-1,0,unknown,no
59,services,married,secondary,no,307,yes,yes,unknown,6,may,250,7,-1,0,unknown,no
32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,yes
33,services,single,secondary,no,3269,no,yes,cellular,21,nov,381,1,126,1,failure,no
28,management,Single,tertiary,no,2725,no,no,cellular,16,jun,292,1,504,1,failure,yes
59,retired,divorced,primary,no,217,yes,no,unknown,26,may,574,3,-1,0,unknown,no
34,technician,single,tertiary,no,612,no,no,cellular,28,aug,81,1,95,1,failure,no
55,services,married,secondary,no,752,no,no,unknown,17,jun,204,2,-1,0,unknown,no
40,admin.,single,secondary,no,2378,yes,no,unknown,2,jun,65,1,-1,0,unknown,no
49,housemaid,married,tertiary,no,50,yes,yes,cellular,29,jan,149,1,-1,0,unknown,no
37,blue-collar,single,secondary,no,48,no,no,cellular,6,may,140,2,-1,0,unknown,no
61,retired,married,primary,no,8729,no,no,cellular,30,oct,480,1,-1,0,unknown,yes
59,self-employed,married,primary,no,0,yes,no,telephone,28,jul,97,2,-1,0,unknown,no
55,unknown,married,secondary,no,1157,no,no,cellular,12,jul,289,1,412,2,failure,no
57,housemaid,married,secondary,no,271,no,no,cellular,31,jul,81,4,-1,0,unknown,no
37,admin.,married,secondary,no,597,no,no,cellular,2,jun,395,1,-1,0,unknown,yes
35,management,married,tertiary,no,5057,yes,no,unknown,4,jun,193,10,-1,0,unknown,no
38,management,married,tertiary,no,238,no,no,cellular,4,aug,139,1,92,3,failure,yes
38,blue-collar,married,secondary,no,0,yes,no,cellular,13,may,57,5,349,1,,no
46,technician,married,,no,605,yes,no,cellular,20,apr,780,2,-1,0,unknown,no
47,unknown,married,,no,8,no,no,telephone,26,may,164,1,-1,0,unknown,no
47,management,married,secondary,no,0,yes,yes,cellular,17,nov,124,2,-1,0,unknown,no
49,technician,married,secondary,no,378,no,no,unknown,9,jun,189,2,-1,0,unknown,no
57,blue-collar,married,primary,no,1236,no,no,unknown,18,jun,152,9,-1,0,unknown,no
52,services,married,primary,no,2618,yes,no,cellular,21,nov,73,2,-1,0,unknown,no
42,technician,single,secondary,no,275,no,no,cellular,29,jul,522,3,-1,0,unknown,no
56,technician,married,secondary,no,3931,no,no,cellular,14,apr,115,1,-1,0,unknown,no
28,blue-collar,married,primary,no,113,yes,no,unknown,8,may,534,2,-1,0,unknown,no
42,blue-collar,divorced,secondary,no,898,yes,no,cellular,18,nov,136,2,131,1,failure,no
30,blue-collar,divorced,primary,no,511,yes,no,cellular,20,nov,157,3,-1,0,unknown,no
49,management,married,tertiary,no,489,yes,no,cellular,6,may,65,1,358,1,failure,no
31,student,single,secondary,no,1776,no,no,cellular,15,jun,220,1,207,1,,yes
30,technician,married,secondary,no,371,no,no,cellular,7,aug,124,2,-1,0,unknown,no
35,blue-collar,single,primary,no,-276,yes,no,cellular,13,may,850,1,-1,0,unknown,yes
38,technician,married,tertiary,no,51,no,no,telephone,27,aug,39,9,-1,0,unknown,no
27,management,single,tertiary,no,592,no,no,cellular,7,sep,667,1,221,3,failure,no
31,admin.,single,secondary,no,12,yes,no,unknown,5,may,208,2,-1,0,unknown,no
41,technician,married,secondary,no,112,yes,no,cellular,9,jul,158,1,-1,0,unknown,no
31,management,1,tertiary,no,630,no,no,cellular,4,may,95,2,91,2,failure,no
47,blue-collar,married,primary,no,570,no,no,cellular,12,aug,864,3,-1,0,unknown,no
42,blue-collar,married,secondary,no,-1664,yes,no,unknown,13,may,169,1,-1,0,unknown,no
56,retired,married,primary,no,133,no,yes,unknown,12,jun,322,2,-1,0,unknown,no
70,retired,divorced,secondary,no,4572,no,no,cellular,8,jul,173,11,162,5,failure,no
44,technician,single,primary,no,237,yes,no,cellular,25,jul,54,1,-1,0,unknown,no
48,management,married,tertiary,no,0,no,yes,cellular,6,feb,1423,3,-1,0,unknown,no
40,admin.,married,secondary,no,-666,yes,no,unknown,27,may,107,2,-1,0,unknown,no
57,retired,married,secondary,no,13834,no,no,cellular,11,aug,107,1,-1,0,unknown,no
37,services,married,secondary,no,50,yes,no,unknown,8,may,352,3,-1,0,unknown,no
39,technician,married,tertiary,no,-1099,yes,no,cellular,30,jul,56,9,-1,0,unknown,no
28,blue-collar,married,,no,52,yes,no,unknown,13,may,226,1,-1,0,unknown,no
26,entrepreneur,single,tertiary,no,725,no,no,cellular,5,feb,1916,2,189,29,,yes
37,technician,married,secondary,no,146,yes,yes,cellular,6,may,82,2,356,2,failure,no
32,blue-collar,married,secondary,no,43,yes,no,unknown,21,may,173,2,-1,0,unknown,no
27,blue-collar,married,secondary,no,30,no,yes,cellular,18,may,110,1,334,4,,no
53,services,married,,no,2009,no,no,cellular,16,jun,250,1,-1,0,unknown,no
32,management,married,tertiary,no,1969,no,no,cellular,18,aug,271,8,-1,0,unknown,no
52,blue-collar,single,,no,1785,no,no,cellular,3,feb,168,2,-1,0,unknown,no
37,management,single,tertiary,no,1517,no,yes,cellular,6,may,60,1,-1,0,unknown,no
35,technician,single,secondary,no,705,yes,yes,cellular,15,may,177,1,361,3,failure,no
34,entrepreneur,married,tertiary,no,145,yes,yes,cellular,18,jul,127,10,-1,0,unknown,no
75,unknown,married,tertiary,no,643,no,no,cellular,15,oct,522,2,-1,0,unknown,no
37,services,married,secondary,no,1785,yes,no,unknown,26,may,912,4,-1,0,unknown,no
54,unemployed,divorced,secondary,no,925,no,no,cellular,5,feb,2,1,-1,0,unknown,no
65,unemployed,married,secondary,no,3195,no,no,telephone,2,mar,904,1,-1,0,unknown,yes
50,blue-collar,married,,no,2284,yes,no,telephone,31,jul,1088,17,-1,0,unknown,yes
42,services,single,secondary,yes,58,no,no,cellular,3,feb,428,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,89,yes,no,unknown,6,may,145,2,-1,0,unknown,no
35,management,married,tertiary,no,62,no,no,cellular,8,feb,469,2,185,2,failure,yes
36,blue-collar,married,secondary,no,204,yes,no,cellular,20,apr,28,5,-1,0,unknown,no
46,entrepreneur,married,tertiary,no,954,yes,yes,cellular,4,feb,532,2,-1,0,unknown,no
28,student,single,secondary,no,305,no,no,cellular,7,jul,625,1,-1,0,unknown,no
43,technician,single,secondary,no,4990,yes,no,cellular,7,apr,58,1,228,10,failure,no
52,blue-collar,married,primary,no,10,no,no,cellular,6,aug,588,3,-1,0,unknown,no
47,admin.,married,secondary,no,1387,yes,no,cellular,14,oct,158,1,826,1,failure,no
34,housemaid,married,tertiary,no,1265,yes,no,unknown,6,jun,397,3,-1,0,unknown,no
46,management,divorced,secondary,no,10,yes,no,cellular,17,nov,273,1,-1,0,unknown,no
